name,ring,quadrant,isNew,description
Grafana,Adopt,Platform & Infrastructure,FALSE,"<a href=""https://grafana.com/"">Grafana</a> - инструмент для отображения технологических и бизнесовых метрик, собранных из различных источников."
Moira,Adopt,Platform & Infrastructure,FALSE,"<a href=""https://github.com/moira-alert/moira"">Moira</a> - инструмент для гибкой настройки и алертинга на основе метрик из различных источников (например, Graphite)."
Graphite,Adopt,Platform & Infrastructure,FALSE,"<a href=""https://graphiteapp.org/"">Graphite</a> - time-series хранилище данных, используется для сохранения метрик работы приложений и их визуализации путём запроса метрик из Grafana. "
ElasticSearch,Adopt,Platform & Infrastructure,FALSE,"<a href=""https://www.elastic.co/elasticsearch/"">ElasticSearch</a> - поисковая система, используется в YooMoney в связке с Kibana для индексации и анализа логов приложений."
Kibana,Adopt,Platform & Infrastructure,FALSE,"<a href=""https://www.elastic.co/kibana/"">Kibana</a> - инструмент для удобного доступа к логам приложений с целью мониторинга работы приложений и анализа инцидентов."
Zipkin,Adopt,Platform & Infrastructure,FALSE,"<a href=""https://zipkin.io"">Zipkin</a> - инструмент для трассировки работы распределенных систем и визуализации полученных данных."
Apache Kafka,Adopt,Platform & Infrastructure,FALSE,"<a href=""https://kafka.apache.org/"">Apache Kafka</a> - распределенный брокер сообщений, используемый для асинхронного взаимодействия между различными системами."
Nginx,Adopt,Platform & Infrastructure,FALSE,"<a href=""https://nginx.org/"">nginx</a> - открытый сервер, который может выступать в роли HTTP, reverse proxy и TCP/UDP proxy сервера"
Zabbix,Adopt,Platform & Infrastructure,FALSE,"<a href=""https://www.zabbix.com/"">Zabbix</a> - система мониторинга и отслеживания статусов серверов, сетевого оборудования и программных систем."
HAProxy,Adopt,Platform & Infrastructure,FALSE,"<a href=""http://www.haproxy.org/"">HAProxy</a> - балансировщик TCP/HTTP трафика с широкими возможностями контроля над структурой запроса или пакета."
LXC Containers,Hold,Platform & Infrastructure,FALSE,Инструмент для контейнеризации приложений в Linux. Отказываемся от использования LXC контейнеров в связи с большим количеством ручной работы и сложностей в поддержке production инфраструктуры.
Kubernetes,Trial,Platform & Infrastructure,TRUE,"<a href=""https://kubernetes.io/ru/"">Kubernetes</a> - система оркестрации контейнеризованных приложений. Переезд с использования LXC Containers в кластеры Kubernetes находится в активной фазе."
Prometheus,Trial,Platform & Infrastructure,TRUE,"<a href=""https://prometheus.io/"">Prometheus</a> - открытая система мониторинга и алертинга приложений."
Docker,Adopt,Platform & Infrastructure,FALSE,Инструмент для сборки и запуска контейнеризованных приложений.
Hashicorp Vault,Adopt,Platform & Infrastructure,FALSE,"<a href=""https://www.hashicorp.com/products/vault"">Hashicorp Vault</a> - система для хранения чувствительной информации с возможностью администрирования, журналирования изменений и получения значений чувствительных данных для использования сервисами."
Git,Adopt,Techniques & Tools,FALSE,"Система контроля версий для хранения исходного кода, документации, конфигурации и т.д."
Sonatype Nexus,Adopt,Techniques & Tools,FALSE,"<a href=""https://www.sonatype.com/products/repository-oss"">Nexus</a> - хранилище артефактов, получаемых в результате сборки сервисов. Активно используется в рамках цикла CI/CD для реализации подхода binary distribution (тестируется и эксплуатируется на production единожды собранный артефакт с сервисом), что гарантирует одинаковое поведение системы на всех средах."
Gradle,Adopt,Techniques & Tools,FALSE,"Инструмент CI/CD цикла разработки - в частности, сборки приложений. Для обеспечения процессов активно разрабатываются и развиваются Gradle плагины, <a href=""https://github.com/search?q=topic%3Agradle+org%3Ayoomoney&type=Repositories"">некоторые из которых перенесены в Opensource</a>."
Jenkins,Adopt,Techniques & Tools,FALSE,"Инструмент CI/CD цикла разработки - выполняет различные job-ы, описанные с применением Jenkins Job DSL."
TravisCI,Adopt,Techniques & Tools,FALSE,Инструмент для реализации CI/CD цикла в open source проектах.
OpenAPI,Adopt,Techniques & Tools,FALSE,"<a href=""https://swagger.io/specification"">OpenAPI</a> - спецификация описания синхронных межсервисных взаимодействий на основе HTTP вызовов. Используется для описания как публичных спецификаций сервисов (например, <a href=""https://yookassa.ru/developers/api"">API YooKassa</a>), так и внутреннего межкомпонентного взаимодействия."
AsyncAPI,Assess,Techniques & Tools,TRUE,"<a href=""https://www.asyncapi.com/"">AsyncAPI</a> - язык описания асинхронных межсервисных взаимодействий. Описание моделей совместимо с OpenAPI, что позволяет при необходимости переиспользовать часть спецификаций."
API Code Generation,Adopt,Techniques & Tools,TRUE,"При проектировании и разработке межсервисного взаимодействия сначала описывается спецификация сервиса, которую могут использовать все клиенты и сервис, реализующий описанный API. Для уменьшения количества boilerplate кода имеется возможность автоматически генерировать исходный код согласно спецификации."
Atlassian JIRA,Adopt,Techniques & Tools,FALSE,"Инструмент для ведения проектной деятельности (статусы и DoD проектов, декомпозиция на эпики/фичи/задачи и активности)."
IntelliJ IDEA,Adopt,Techniques & Tools,FALSE,"<a href=""https://www.jetbrains.com/ru-ru/idea/"">IntelliJ IDEA</a> - основная среда разработки."
Code Review,Adopt,Techniques & Tools,FALSE,"Весь код в проходит через процесс code review с привлечением наиболее подходящих ревьюеров. Это помогает делиться знаниями между разработчиками, следить за соблюдением принятых соглашений и повышать качество кода. Code review проводится с использованием self-hosted <a href=""https://bitbucket.org/"">Atlassian Bitbucket</a>."
Documentation as Code,Adopt,Techniques & Tools,TRUE,"Ранее технические решения описывались в виде документов в Atlassian Confluence, что усложняло актуализацию, поддержку и ревью.<br/>На данный момент технические решения прорабатываются и поддерживаются в VCS git и проходят ревью в Bitbucket."
Open Source,Adopt,Techniques & Tools,TRUE,"Часть технологического стека отдела бэкэнда перенесена и <a href=""https://github.com/yoomoney/"">доступна на GitHub</a>. Количество репозиториев постоянно расширяется."
